product,hundred energy (kcal),hundred protein (g),hundred total fat (g),hundred saturated fat (g),hundred trans fat (g),hundred carbohydrate (g),hundred dietary fiber (g),hundred sugars (g),hundred sodium (mg),per serve,serve energy (kcal),serve protein (g),serve total fat (g),serve saturated fat (g),serve trans fat (g),serve carbohydrate (g),serve dietary fiber (g),serve sugars (g),serve sodium (mg)
BP_334686,343.3,6.9,0.65,0,0,77.5,1.1,0,0,,,,,,,,,,
BP_334928,237,1.5,0,0,0,55,,47,100,,,,,,,,,,
BP_335336,,,,,,,,,,21g,70,3,5,3,0,2,0,1,280
BP_335337,,,,,,,,,,21g,30,5,0,0,0,3,0,1,300
BP_335338,,,,,,,,,,21g,70,3,5,3,0,2,0,1,280
BP_335633,57,4.5,3.2,0.5,0,2.6,,0.7,48,,,,,,,,,,
BP_336054,40,0.6,0.1,0,0,8.9,0.2,8.2,8,,,,,,,,,,
BP_336875,,,,,,,,,,5g,13,0.8,0.4,0.1,0,1.6,,0.5,787
BP_336904,,,,,,,,,,7.1g,34,0.4,1.8,0.9,0,4,,3.8,8
BP_337265,823,0,91.3,6.1,0,0,0,0,0,,,,,,,,,,
BP_337369,,,,,,,,,,5ml,21,0.5,0,0,0,4.3,,2.3,5
BP_337928,,,,,,,,,,0.6g,0,0,0,0,0,0.1,,0,30
BP_337930,264,3.9,23.4,9.2,0.5,9.5,5,4.9,2099,26.6g,70,1,6.2,2.4,0.1,2.5,1.3,1.3,558
BP_337931,,,,,,,,,,49.7g,227,1.9,20.2,14.5,0,9.5,,5.9,496
BP_337933,,,,,,,,,,10 g,9,0.4,0.1,0,0,1.6,,0.8,824
BP_338267,,,,,,,,,,15ml,120,0,14,3,0.1,0,0,0,0
BP_338289,,,,,,,,,,15ml,120,0,14,3,0.1,0,0,0,0
BP_338540,,,,,,,,,,20 g,47,1.5,2.1,0.7,0,5.6,,1.6,1206
BP_338542,,,,,,,,,,1 g,2,0.04,0,0,0,0.5,,0.2,153
BP_338934,,,,,,,,,,35g,188,1.6,11.6,4.6,0,19.4,,3,331
BP_338935,,,,,,,,,,40g,209,1,11.6,4.4,0,25.1,,10,259
BP_338936,,,,,,,,,,40g,206,1.1,11.6,4,0,24.4,,8.9,252
BP_339147,346,6.9,0.4,0.1,0,78.8,,0,2,,,,,,,,,,
BP_339613,692,11.7,70,4.5,0,3.8,,3.5,980,,,,,,,,,,
BP_339702,205,9.16,14.6,3.3,0,9.3,,3.2,879,,,,,,,,,,
BP_339703,271,6.04,24.1,5.3,0,7.4,,2.9,1020,,,,,,,,,,
BP_339826,805,0,91,13,0,0,,0,0,,,,,,,,,,
BP_341621,77,4.3,0.8,0.2,0,13.1,4.4,5.5,281,127g,98,5.5,1.1,0.2,0,16.6,5.6,7,357
BP_341659,,,,,,,,,,,,,,,,,,,
BP_342447,358,7.8,1,0.2,0,76.7,,4,1120,,,,,,,,,,
BP_342571,331,6.8,4.7,4.6,2.3,65.4,,19.4,130,,,,,,,,,,
BP_343510,35,0,0,0,0,7.8,0.2,6.6,46,350 ml,,,,,,,,,
BP_343813,356,7.1,2,0.6,0,78.4,1,0,0,,,,,,,,,,
BP_344824,210,6.4,5.8,1.9,0.06,33,,11,260,,,,,,,,,,
BP_344962,,,,,,,,,,95g,317,4,18,7,0,37,,2,538
BP_344963,,,,,,,,,,93g,295,4,15,6,0,37,,4,473
BP_345458,,,,,,,,,,60g,223,4.1,3.1,1.9,0,44.8,0.3,1.8,1494
BP_345459,441,9.9,17.3,11.2,0,61.5,,3.7,1938,,,,,,,,,,
BP_345785,401,2.9,4.5,4.4,0,87.1,,66.1,23,,,,,,,,,,
BP_348217,37,0,0,0,0,8.9,,8.9,5,,,,,,,,,,
BP_348219,45,0,0,0,0,10.9,,10.9,10,,,,,,,,,,
BP_348242,,,,,,,,,,285g,145,6,1.3,0.5,0,27,,2,530
BP_348261,,,,,,,,,,311g,320,11,3.8,1.6,0,60,,1,850
BP_348453,,,,,,,,,,5g,5,0.1,0,0,0,1.1,,0.9,195
BP_348933,181,22.7,9.8,1.8,0,0.5,,0,292,,,,,,,,,,
BP_349237,692,11.7,70,4.5,0,3.8,,3.5,980,,,,,,,,,,
